family,organism,fasta_path,uniprot_accession,reference_gene_symbol,gene_id,gene_symbol,gene_name,seqid,strand,gene_start,gene_end,gene_span,transcript_count,mean_exon_count,max_exon_count,min_exon_count
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjb2__P21994.fasta,P21994,Gjb2,gene-Vom2r1,Vom2r1,vomeronasal 2 receptor%2C 1,NC_086019.1,+,164376,175234,10859,3,6.0,6,6
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjb3__P25305.fasta,P25305,Gjb3,gene-Gjb3,Gjb3,gap junction protein%2C beta 3,NC_086023.1,-,144933692,144939435,5744,2,2.0,2,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjb4__P36380.fasta,P36380,Gjb4,gene-Gjb4,Gjb4,gap junction protein%2C beta 4,NC_086023.1,-,144948231,144964014,15784,2,2.5,3,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjb5__P28232.fasta,P28232,Gjb5,gene-Vom2r5,Vom2r5,vomeronasal 2 receptor%2C 5,NC_086019.1,+,2973745,2982398,8654,8,5.25,6,4
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjc1__A4GG66.fasta,A4GG66,Gjc1,gene-Gjc1,Gjc1,gap junction protein%2C gamma 1,NC_086028.1,-,88262840,88285646,22807,7,3.4285714285714284,4,3
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjc2__Q80XF7.fasta,Q80XF7,Gjc2,gene-Vom2r1,Vom2r1,vomeronasal 2 receptor%2C 1,NC_086019.1,+,164376,175234,10859,3,6.0,6,6
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjd2__O70610.fasta,O70610,Gjd2,gene-Vom2r1,Vom2r1,vomeronasal 2 receptor%2C 1,NC_086019.1,+,164376,175234,10859,3,6.0,6,6
connexin,Sus scrofa,project/data/references/connexins/Sus_scrofa/GJA1__Q29101.fasta,Q29101,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_010443.5,-,40988818,41002129,13312,1,2.0,2,2
connexin,Sus scrofa,project/data/references/connexins/Sus_scrofa/GJA4__Q29559.fasta,Q29559,GJA4,gene-GJA4,GJA4,gap junction protein alpha 4,NC_010448.4,+,91045430,91048161,2732,1,2.0,2,2
connexin,Sus scrofa,project/data/references/connexins/Sus_scrofa/GJC1__A4GVD1.fasta,A4GVD1,GJC1,gene-GJC1,GJC1,gap junction protein gamma 1,NC_010454.4,+,18526060,18560221,34162,6,2.6666666666666665,3,1
connexin,Ursus americanus,project/data/references/connexins/Ursus_americanus/GJA1__A6XKM2.fasta,A6XKM2,GJA1,gene-GJA1,GJA1,GJA1,NW_025577385.1,+,10416870,10430339,13470,1,2.0,2,2
connexin,Xenopus laevis,project/data/references/connexins/Xenopus_laevis/gja1__P16863.fasta,P16863,gja1,gene-gja1.L,gja1.L,gap junction protein alpha 1 L homeolog,NC_054379.1,-,75337286,75345666,8381,1,2.0,2,2
connexin,Xenopus laevis,project/data/references/connexins/Xenopus_laevis/gja2__P16864.fasta,P16864,gja2,gene-cx38.S,cx38.S,connexin 38,NC_054374.1,+,80649110,80652844,3735,1,2.0,2,2
connexin,Xenopus laevis,project/data/references/connexins/Xenopus_laevis/gja4__P51914.fasta,P51914,gja4,gene-gja4.L,gja4.L,gap junction protein alpha 4 L homeolog,NC_054373.1,-,92773605,92779310,5706,1,2.0,2,2
connexin,Xenopus laevis,project/data/references/connexins/Xenopus_laevis/gjb1__P08983.fasta,P08983,gjb1,gene-gjb1.L,gjb1.L,gap junction protein beta 1 L homeolog,NC_054385.1,-,34999996,35010603,10608,5,2.0,2,2
connexin,Xenopus tropicalis,project/data/references/connexins/Xenopus_tropicalis/gja4__Q0V990.fasta,Q0V990,gja4,gene-gja4,gja4,gap junction protein alpha 4,NC_030678.2,+,89194786,89199855,5070,1,2.0,2,2
