seq_id,source,species_dir,organism,clade,gene_label,reference_type,subfamily,length,identity_to_ref
cur|Brachionus_calyciflorus|NTPY01000483.1_809096_811261|p5,curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,414,0.3285
cur|Brachionus_calyciflorus|NTPY01000275.1_566644_568817|p6,curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,393,0.335
cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,sp|Q1DH70|SHAKB_AEDAE,shakB,SF1_shakB,343,0.2823
cur|Brachionus_koreanus|PJRA01000196.1_402296_406389|p1,curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,sp|Q9U3K5|INX2_CAEEL,inx-2 (Cele),SF3_Inx3_Inx7_nematode,387,0.2423
cur|Brachionus_koreanus|PJRA01000555.1_1340882_1341979|p2,curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,366,0.4321
cur|Brachionus_koreanus|PJRA01000389.1_11013_14791|p4,curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,392,0.3383
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5,curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,sp|Q1DH70|SHAKB_AEDAE,shakB,SF1_shakB,377,0.2806
cur|Brachionus_manjavacas|JAHQIY010000010.1_3042979_3051256|p1,curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,sp|Q9U3K5|INX2_CAEEL,inx-2 (Cele),SF3_Inx3_Inx7_nematode,369,0.2378
cur|Brachionus_manjavacas|JAHQIY010000020.1_863382_864479|p2,curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,366,0.4158
cur|Brachionus_manjavacas|JAHQIY010000001.1_3683723_3686938|p3,curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,392,0.3358
cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,sp|Q1DH70|SHAKB_AEDAE,shakB,SF1_shakB,348,0.303
cur|Dryodora_glandiformis|JAUELJ010278292.1_395_1618|p1,curator_new,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,388,0.4667
cur|Dryodora_glandiformis|JAUELJ010287262.1_606_1743|p2,curator_new,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,356,0.4566
cur|Dryodora_glandiformis|JAUELJ010069302.1_2030_3163|p3,curator_new,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,378,0.3456
cur|Dryodora_glandiformis|JAUELJ010305675.1_629_1771|p4,curator_new,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,381,0.3756
cur|Dryodora_glandiformis|JAUELJ010241728.1_537_1514|p5,curator_new,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,326,0.4036
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6,curator_new,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,353,0.5457
cur|Eriophyidae_sp.|CP157589.1_15871915_15872964|p1,curator_new,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,350,0.584
cur|Eriophyidae_sp.|CP157590.1_242827_243888|p2,curator_new,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,354,0.5042
cur|Eriophyidae_sp.|CP157589.1_1945697_1946933|p3,curator_new,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,352,0.4561
cur|Eriophyidae_sp.|CP157589.1_12771188_12772438|p7,curator_new,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,354,0.427
cur|Eriophyidae_sp.|CP157589.1_12771188_12772438|p10,curator_new,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),sp|Q1DH70|SHAKB_AEDAE,shakB,SF1_shakB,353,0.4592
cur|Eriophyidae_sp.|CP157589.1_14051685_14059055|p12,curator_new,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,358,0.4875
cur|Eriophyidae_sp.|CP157589.1_2915620_2916790|p13,curator_new,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,357,0.4594
cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,387,0.3555
cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,386,0.3566
cur|Rotaria_macrura|OENT01001445.1_20220_22805|p3,curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,370,0.3585
cur|Rotaria_macrura|OENT01001165.1_23266_28470|p4,curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,370,0.3504
cur|Rotaria_macrura|OENT01000439.1_8602_9805|p5,curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,379,0.3151
cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,373,0.393
cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,343,0.4203
cur|Streblospio_benedicti|CM032660.1_56259174_56277458|p3,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,348,0.3894
cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,384,0.3731
cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,385,0.3419
cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,368,0.3978
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,361,0.418
cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,367,0.3859
cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,367,0.372
cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,365,0.3733
cur|Streblospio_benedicti|CM032660.1_23991495_23998058|p11,curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,348,0.3614
cur|Triops_cancriformis|JAHZNP010000030.1_219375_220831|p1,curator_new,Triops_cancriformis,Triops cancriformis,Arthropoda (non-insect),sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,362,0.5635
cur|Triops_cancriformis|JAHZNP010000413.1_12392_54817|p2,curator_new,Triops_cancriformis,Triops cancriformis,Arthropoda (non-insect),sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,355,0.4873
cur|Triops_cancriformis|JAHZNP010000030.1_205087_209529|p3,curator_new,Triops_cancriformis,Triops cancriformis,Arthropoda (non-insect),sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,304,0.2823
