query,target,pident,alnlen,evalue,bits
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7,28.7,88,2.435e-05,40.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthochitona_discrepans|CM108789.1_13705717_13706817|p5,26.4,100,3.21e-05,40.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,Caenorhabditis_elegans,29.1,83,5.581e-05,39.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Dryodora_glandiformis|JAUELJ010305675.1_629_1771|p4,24.7,100,0.0005096,36.0
panx|Takifugu_rubripes|panx2|A0A3B5K011,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,27.6,102,2.57e-06,44.0
panx|Takifugu_rubripes|panx2|A0A3B5K011,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,27.6,102,2.57e-06,44.0
panx|Takifugu_rubripes|panx2|A0A3B5K011,cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,23.5,132,5.895e-06,42.0
panx|Takifugu_rubripes|panx2|A0A3B5K011,cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6,27.4,98,1.025e-05,42.0
panx|Takifugu_rubripes|panx2|A0A3B5K011,cur|Abra_alba|OZ409525.1_26983439_26985168|p1,26.0,95,0.0002149,37.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Brachionus_calyciflorus|NTPY01000970.1_33584_34756|p3,22.6,150,7.662e-07,44.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,28.3,98,1.34e-06,44.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,28.3,98,1.34e-06,44.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,28.3,98,1.34e-06,44.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,28.3,98,1.34e-06,44.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,27.6,101,1.772e-06,43.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,27.7,98,3.099e-06,42.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,27.7,98,3.099e-06,42.0
panx|Xenopus_tropicalis|panx3|F7D9M9,cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4,22.2,125,0.0002042,36.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,28.6,116,4.592e-09,52.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,28.6,116,4.592e-09,52.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,28.5,116,6.07e-09,51.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,28.5,116,6.07e-09,51.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,28.7,112,1.402e-08,50.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,27.6,119,1.402e-08,50.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,28.1,116,1.402e-08,50.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,27.9,116,1.853e-08,50.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Brachionus_koreanus|PJRA01000555.1_1340882_1341979|p2,27.6,115,4.279e-08,49.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Brachionus_manjavacas|JAHQIY010000020.1_863382_864479|p2,25.8,128,5.655e-08,48.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,27.3,114,9.878e-08,48.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,26.8,118,9.878e-08,48.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,26.9,114,2.28e-07,46.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,26.2,118,3.012e-07,46.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4,26.3,115,5.26e-07,45.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,23.5,140,6.95e-07,45.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,27.1,107,9.183e-07,44.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,27.0,108,9.183e-07,44.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Brachionus_calyciflorus|NTPY01000970.1_33584_34756|p3,25.0,122,1.213e-06,44.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,27.9,100,1.603e-06,44.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,27.9,100,1.603e-06,44.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Abra_alba|OZ409525.1_53154133_53163052|p4,25.9,114,1.603e-06,44.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,26.0,112,2.118e-06,43.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,23.7,130,3.697e-06,42.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,23.5,131,4.884e-06,42.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,28.9,89,8.523e-06,41.0
panx|Takifugu_rubripes|panx3|A0A674M993,Caenorhabditis_elegans,26.9,100,8.523e-06,41.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Abra_alba|OZ409525.1_18330358_18348899|p2,23.8,123,1.126e-05,41.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,23.8,123,1.126e-05,41.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,24.5,107,0.0001043,38.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,24.5,107,0.0001043,38.0
panx|Takifugu_rubripes|panx3|A0A674M993,cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7,25.5,98,0.0001378,37.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,32.3,85,2.075e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,23.5,146,2.075e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,30.7,91,2.743e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,31.2,88,3.627e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,31.2,88,3.627e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,31.2,88,3.627e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,31.2,88,3.627e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,31.2,88,3.627e-07,46.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,31.4,86,4.795e-07,45.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4,25.1,125,4.795e-07,45.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,30.6,87,1.108e-06,44.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,28.8,93,2.558e-06,43.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,29.8,87,3.381e-06,42.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,29.2,89,4.469e-06,42.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Brachionus_calyciflorus|NTPY01000970.1_33584_34756|p3,24.0,125,4.469e-06,42.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,28.7,89,1.032e-05,41.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,19.1,199,1.032e-05,41.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Abra_alba|OZ409525.1_53154133_53163052|p4,27.9,89,3.146e-05,39.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,27.5,89,5.494e-05,38.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Abra_alba|OZ409525.1_18330358_18348899|p2,22.1,128,0.0001674,37.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,22.1,128,0.0001674,37.0
panx|Gallus_gallus|PANX1|A0A1D5P0I0,cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,26.2,89,0.0003862,36.0
panx|Takifugu_rubripes|PANX|H2SGQ8,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,27.6,102,2.312e-06,44.0
panx|Takifugu_rubripes|PANX|H2SGQ8,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,27.6,102,2.312e-06,44.0
panx|Takifugu_rubripes|PANX|H2SGQ8,cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,23.5,132,5.308e-06,42.0
panx|Takifugu_rubripes|PANX|H2SGQ8,cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6,27.4,98,9.238e-06,42.0
panx|Takifugu_rubripes|PANX|H2SGQ8,cur|Abra_alba|OZ409525.1_26983439_26985168|p1,26.0,95,0.0001943,37.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,31.6,105,9.094e-10,55.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,31.1,105,2.092e-09,53.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,31.1,104,2.761e-09,53.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_alba|OZ409525.1_47319987_47324644|p7,30.6,106,3.645e-09,53.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,30.8,104,4.811e-09,52.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,30.8,104,4.811e-09,52.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,30.8,104,4.811e-09,52.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2,31.3,100,8.383e-09,51.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_segmentum|OZ251777.1_32509668_32513297|p8,29.8,106,1.46e-08,51.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,30.2,104,1.46e-08,51.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,30.8,100,1.928e-08,50.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5,27.5,118,3.358e-08,49.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,27.4,118,4.432e-08,49.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,29.0,107,4.432e-08,49.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4,25.9,130,4.432e-08,49.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,29.2,105,5.849e-08,49.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,25.4,132,7.72e-08,48.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_18890103_18896398|p8,29.4,102,1.019e-07,48.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,Caenorhabditis_elegans,29.8,99,1.345e-07,48.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,29.2,102,1.345e-07,48.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,29.2,102,1.345e-07,48.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,29.1,101,2.342e-07,47.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_21312057_21325945|p10,29.1,101,2.342e-07,47.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6,29.6,98,2.342e-07,47.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_alba|OZ409525.1_26978116_27031527|p5,28.6,104,2.342e-07,47.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,28.6,104,2.342e-07,47.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthochitona_discrepans|CM108789.1_17930773_17931897|p3,28.2,105,3.09e-07,46.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,28.4,104,3.09e-07,46.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9,28.6,102,4.078e-07,46.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_segmentum|OZ251777.1_37619854_37628968|p2,28.6,102,4.078e-07,46.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,28.8,100,5.382e-07,46.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9,24.9,128,5.382e-07,46.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,Caenorhabditis_elegans,31.4,86,7.102e-07,45.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_alba|OZ409525.1_53154133_53163052|p4,28.1,102,9.372e-07,45.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,28.1,102,9.372e-07,45.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377325.1_14826690_14837377|p14,25.3,122,9.372e-07,45.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_alba|OZ409525.1_27026774_27031521|p3,28.1,102,9.372e-07,45.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_segmentum|OZ251777.1_10571949_10575809|p3,25.7,119,9.372e-07,45.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,28.4,99,1.237e-06,44.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,28.4,99,1.237e-06,44.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_alba|OZ409525.1_18330358_18348899|p2,27.3,105,1.632e-06,44.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,27.3,105,1.632e-06,44.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Abra_alba|OZ409525.1_26983439_26985168|p1,28.8,95,2.154e-06,44.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_23300040_23302999|p3,27.3,104,2.154e-06,44.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,27.0,104,3.75e-06,43.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,22.0,151,4.948e-06,42.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,26.9,102,6.529e-06,42.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032660.1_56259174_56277458|p3,27.2,98,1.137e-05,41.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7,29.1,88,1.137e-05,41.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Acanthochitona_discrepans|CM108789.1_13705717_13706817|p5,26.7,100,1.5e-05,41.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,Caenorhabditis_elegans,29.7,83,1.979e-05,40.0
panx|Gallus_gallus|PANX2|A0A8V0XA00,cur|Dryodora_glandiformis|JAUELJ010305675.1_629_1771|p4,26.1,100,4.545e-05,39.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Brachionus_calyciflorus|NTPY01000970.1_33584_34756|p3,24.9,139,2.893e-08,49.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,29.1,103,8.849e-08,48.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,29.1,103,8.849e-08,48.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,29.1,103,8.849e-08,48.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,28.9,103,1.17e-07,47.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,29.6,99,1.17e-07,47.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,29.1,99,2.705e-07,46.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4,24.8,127,6.251e-07,45.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Brachionus_koreanus|PJRA01000555.1_1340882_1341979|p2,24.2,127,1.909e-06,43.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,26.7,106,2.524e-06,43.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Brachionus_manjavacas|JAHQIY010000020.1_863382_864479|p2,23.3,127,1.346e-05,40.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,25.5,104,3.106e-05,39.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,25.9,101,3.106e-05,39.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,25.9,99,5.424e-05,38.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,25.9,99,5.424e-05,38.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,25.7,99,7.168e-05,38.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,22.4,128,7.168e-05,38.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,25.9,98,7.168e-05,38.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,25.0,104,7.168e-05,38.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,24.9,104,9.471e-05,38.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,24.7,103,0.0001654,37.0
panx|Gallus_gallus|PANX3|A0A8V1A6C8,cur|Streblospio_benedicti|CM032660.1_23991495_23998058|p11,24.9,99,0.0002887,36.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,31.9,105,6.744e-10,55.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,31.7,105,8.895e-10,55.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2,31.6,100,6.173e-09,52.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,30.5,102,1.867e-08,51.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,30.5,102,1.867e-08,51.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,29.7,105,3.248e-08,50.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthocardia_echinata|OZ377328.1_18890103_18896398|p8,30.2,102,3.248e-08,50.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,27.5,118,4.283e-08,49.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,25.6,132,5.648e-08,49.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_alba|OZ409525.1_26978116_27031527|p5,29.4,104,7.448e-08,49.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6,30.3,98,9.821e-08,48.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9,29.4,102,1.295e-07,48.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,Caenorhabditis_elegans,29.9,99,1.295e-07,48.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_segmentum|OZ251777.1_37619854_37628968|p2,29.4,102,1.295e-07,48.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,29.4,101,1.708e-07,48.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,28.9,104,1.708e-07,48.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthocardia_echinata|OZ377328.1_21312057_21325945|p10,29.2,101,2.252e-07,47.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,Caenorhabditis_elegans,32.4,86,2.252e-07,47.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_alba|OZ409525.1_27026774_27031521|p3,28.9,102,2.97e-07,47.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,29.3,99,3.916e-07,46.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,29.3,99,3.916e-07,46.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9,25.2,128,3.916e-07,46.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_segmentum|OZ251777.1_10571949_10575809|p3,26.0,119,6.809e-07,46.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_alba|OZ409525.1_26983439_26985168|p1,29.2,95,1.561e-06,44.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,27.4,104,2.058e-06,44.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Acanthocardia_echinata|OZ377325.1_14826690_14837377|p14,25.0,122,2.058e-06,44.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_alba|OZ409525.1_18330358_18348899|p2,27.3,105,2.058e-06,44.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,27.3,105,2.058e-06,44.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,cur|Streblospio_benedicti|CM032660.1_56259174_56277458|p3,27.6,98,8.203e-06,42.0
panx|Anolis_carolinensis|PANX2|G1KAJ7,Caenorhabditis_elegans,23.0,112,0.0009013,35.0
panx|Anolis_carolinensis|PANX3|H9G3D5,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,30.1,116,2.268e-10,56.0
panx|Anolis_carolinensis|PANX3|H9G3D5,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,30.1,116,2.268e-10,56.0
panx|Anolis_carolinensis|PANX3|H9G3D5,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,29.9,116,3.003e-10,55.0
