source,species_dir,organism,clade,candidate_id,gene_label,reference_type,subfamily,protein_length,exon_count,tm_helix_count,reference_identity,best_reference_hit,rank_category,discovery_batch
curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,curator_inx_095,,shakB,SF1_shakB,343,0,0,0.2823,sp|Q1DH70|SHAKB_AEDAE 8 358,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,curator_inx_096,,inx-2 (Cele),SF3_Inx3_Inx7_nematode,406,0,0,0.2402,sp|Q9U3K5|INX2_CAEEL 31 381,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,curator_inx_097,,unc-9,SF3_Inx3_Inx7_nematode,366,0,0,0.4321,sp|O01393|UNC9_CAEEL 20 375,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,curator_inx_098,,unc-9,SF3_Inx3_Inx7_nematode,366,0,0,0.4321,sp|O01393|UNC9_CAEEL 20 375,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,curator_inx_099,,unc-7,SF3_Inx3_Inx7_nematode,392,0,0,0.3383,sp|Q03412|UNC7_CAEEL 136 507,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,curator_inx_100,,shakB,SF1_shakB,377,0,0,0.2806,sp|Q1DH70|SHAKB_AEDAE 18 358,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_koreanus,Brachionus koreanus,Rotifera,curator_inx_101,,inx-2 (Cele),SF3_Inx3_Inx7_nematode,387,0,0,0.2423,sp|Q9U3K5|INX2_CAEEL 28 361,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,curator_inx_102,,unc-9,SF3_Inx3_Inx7_nematode,366,0,0,0.4158,sp|O01393|UNC9_CAEEL 20 375,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,curator_inx_103,,unc-7,SF3_Inx3_Inx7_nematode,392,0,0,0.3358,sp|Q03412|UNC7_CAEEL 136 507,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,curator_inx_104,,shakB,SF1_shakB,348,0,0,0.303,sp|Q1DH70|SHAKB_AEDAE 18 358,curator_present_innexin,gene_curator_probe
curator_new,Brachionus_manjavacas,Brachionus manjavacas,Rotifera,curator_inx_105,,inx-2 (Cele),SF3_Inx3_Inx7_nematode,369,0,0,0.2378,sp|Q9U3K5|INX2_CAEEL 27 338,curator_present_innexin,gene_curator_probe
curator_new,Lepidodermella_squamata,Lepidodermella squamata,Other,curator_inx_106,,other/unknown,unassigned,183,0,0,0.5294,candidate_inx_008 10 194,weak_manual_review,gene_curator_probe
curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,curator_inx_107,,other/unknown,unassigned,197,0,0,0.8838,candidate_inx_008 1 198,weak_manual_review,gene_curator_probe
curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,curator_inx_108,,other/unknown,unassigned,195,0,0,0.8112,candidate_inx_008 1 196,weak_manual_review,gene_curator_probe
curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,curator_inx_109,,unc-9,SF3_Inx3_Inx7_nematode,370,0,0,0.3585,sp|O01393|UNC9_CAEEL 20 367,curator_present_innexin,gene_curator_probe
curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,curator_inx_110,,unc-9,SF3_Inx3_Inx7_nematode,386,0,0,0.3566,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,curator_inx_111,,unc-9,SF3_Inx3_Inx7_nematode,387,0,0,0.3555,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,curator_inx_112,,unc-9,SF3_Inx3_Inx7_nematode,370,0,0,0.3504,sp|O01393|UNC9_CAEEL 20 367,curator_present_innexin,gene_curator_probe
curator_new,Rotaria_macrura,Rotaria macrura,Rotifera,curator_inx_113,,unc-7,SF3_Inx3_Inx7_nematode,379,0,0,0.3151,sp|Q03412|UNC7_CAEEL 138 499,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_114,,unc-9,SF3_Inx3_Inx7_nematode,276,0,0,0.4565,sp|O01393|UNC9_CAEEL 20 288,weak_manual_review,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_115,,unc-9,SF3_Inx3_Inx7_nematode,343,0,0,0.4203,sp|O01393|UNC9_CAEEL 20 355,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_116,,unc-7,SF3_Inx3_Inx7_nematode,361,0,0,0.418,sp|Q03412|UNC7_CAEEL 136 501,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_117,,unc-7,SF3_Inx3_Inx7_nematode,368,0,0,0.3978,sp|Q03412|UNC7_CAEEL 136 503,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_118,,unc-9,SF3_Inx3_Inx7_nematode,373,0,0,0.393,sp|O01393|UNC9_CAEEL 11 375,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_119,,unc-9,SF3_Inx3_Inx7_nematode,348,0,0,0.3894,sp|O01393|UNC9_CAEEL 20 362,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_120,,unc-7,SF3_Inx3_Inx7_nematode,367,0,0,0.3859,sp|Q03412|UNC7_CAEEL 128 491,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_121,,unc-7,SF3_Inx3_Inx7_nematode,365,0,0,0.3733,sp|Q03412|UNC7_CAEEL 138 501,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_122,,unc-9,SF3_Inx3_Inx7_nematode,384,0,0,0.3731,sp|O01393|UNC9_CAEEL 1 375,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_123,,unc-7,SF3_Inx3_Inx7_nematode,367,0,0,0.372,sp|Q03412|UNC7_CAEEL 136 501,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_124,,unc-7,SF3_Inx3_Inx7_nematode,348,0,0,0.3614,sp|Q03412|UNC7_CAEEL 136 501,curator_present_innexin,gene_curator_probe
curator_new,Streblospio_benedicti,Streblospio benedicti,Annelida,curator_inx_125,,unc-9,SF3_Inx3_Inx7_nematode,385,0,0,0.3419,sp|O01393|UNC9_CAEEL 1 379,curator_present_innexin,gene_curator_probe
curator_new,Triops_cancriformis,Triops cancriformis,Arthropoda (non-insect),curator_inx_126,,shakB,SF1_shakB,355,0,0,0.7662,sp|Q1DH70|SHAKB_AEDAE 1 354,curator_present_innexin,gene_curator_probe
curator_new,Triops_cancriformis,Triops cancriformis,Arthropoda (non-insect),curator_inx_127,,Inx1/ogre,SF2_Inx1_ogre,362,0,0,0.5635,sp|P27716|INX1_DROME 1 361,curator_present_innexin,gene_curator_probe
curator_new,Triops_cancriformis,Triops cancriformis,Arthropoda (non-insect),curator_inx_128,,unc-9,SF3_Inx3_Inx7_nematode,304,0,0,0.2823,sp|O01393|UNC9_CAEEL 1 312,curator_present_innexin,gene_curator_probe
